ogg,gene_id,orthodb_id,scaffolds,level_code,level
EOG091C0UDP,LOC105449081,23039962,NW_012097567.1:27-3707,7434,Aculeata
EOG090X0576,LOC105462319,23039963,NW_012096921.1:359-897,6656,Arthropoda
EOG091C0C2A,LOC105459041,23039964,NW_012097541.1:66-575,7434,Aculeata
EOG091C0256,LOC105462347,23039965,NW_012097538.1:9-647,7434,Aculeata
EOG091C06VB,LOC105462345,23039974,NW_012097526.1:240-1643,7434,Aculeata
EOG091C002K,LOC105453377,23039981,NW_012097099.1:217-658,7434,Aculeata
EOG091C0IOQ,LOC105462342,23039982,NW_012097438.1:4-235,7434,Aculeata
EOG091C0C4C,LOC105453337,23039985,NW_012097098.1:7-468,7434,Aculeata
EOG091C05FU,LOC105462332,23039991,NW_012097259.1:22-476,7434,Aculeata
EOG091C02SG,LOC105458191,23039993,NW_012096758.1:55-1196,7434,Aculeata
EOG091C0CVO,LOC105462272,23040010,NW_012096091.1:10991-14564,7434,Aculeata
EOG091C0E6U,LOC105462273,23040011,NW_012096091.1:8229-10993,7434,Aculeata
EOG091C03YW,LOC105462274,23040012,NW_012096091.1:24429-29175,7434,Aculeata
EOG091C05AZ,LOC105453665,23040015,NW_012097361.1:29-1418,7434,Aculeata
EOG091C053Q,LOC105462293,23040016,NW_012096549.1:8-460,7434,Aculeata
EOG091C0CA3,LOC105455463,23040025,NW_012097334.1:205-1300,7434,Aculeata
EOG091C00UW,LOC105456691,23040026,NW_012097321.1:9-802,7434,Aculeata
EOG091C02XP,LOC105452603,23040027,NW_012097211.1:289-1285,7434,Aculeata
EOG091C0FXL,LOC105451065,23040029,NW_012096272.1:31-1057,7434,Aculeata
EOG090X0VQH,LOC105462598,23040031,NW_012097175.1:24-634,6656,Arthropoda
EOG090X0BKW,LOC105454270,23040034,NW_012097487.1:42-423,6656,Arthropoda
EOG091C04V9,LOC105450116,23040039,NW_012096927.1:283-961,7434,Aculeata
EOG091B0HQB,LOC105462318,23040048,NW_012096918.1:17-594,7399,Hymenoptera
EOG091C0953,LOC105462317,23040050,NW_012096903.1:8-367,7434,Aculeata
EOG090X00UR,LOC105453784,23040051,NW_012097076.1:5-922,6656,Arthropoda
EOG090X0O9L,LOC105462286,23040054,NW_012096439.1:1067-3829,6656,Arthropoda
EOG090X0576,LOC105461130,23040058,NW_012097394.1:4402-5816,6656,Arthropoda
EOG091C0IE7,LOC105455570,23040060,NW_012097157.1:96-690,7434,Aculeata
EOG091G09PM,LOC105449739,23040061,NW_012097218.1:91-1037,33208,Metazoa
EOG091C0C5X,LOC105454094,23040062,NW_012097362.1:261-807,7434,Aculeata
EOG091C069O,LOC105457566,23040063,NW_012097215.1:11-295,7434,Aculeata
EOG091C0FOK,LOC105460021,23040068,NW_012095608.1:2003-4010,7434,Aculeata
EOG090X05ZB,LOC105459444,23040070,NW_012096830.1:238-770,6656,Arthropoda
EOG091C0MDD,LOC105462310,23040071,NW_012096823.1:51-810,7434,Aculeata
EOG091C0EKT,LOC105458614,23040072,NW_012096746.1:5-844,7434,Aculeata
EOG091C0HZA,LOC105458365,23040075,NW_012096825.1:78-490,7434,Aculeata
EOG091B0FKS,LOC105462314,23040079,NW_012096877.1:292-717,7399,Hymenoptera
EOG091C02OF,LOC105452962,23040080,NW_012096757.1:94-530,7434,Aculeata
EOG091C084V,LOC105458411,23040084,NW_012096664.1:6-520,7434,Aculeata
EOG090X037I,LOC105454580,23040086,NW_012096473.1:78-885,6656,Arthropoda
EOG091C0D41,LOC105458196,23040087,NW_012096878.1:29-892,7434,Aculeata
EOG091C0FCU,LOC105462304,23040090,NW_012096691.1:5-1271,7434,Aculeata
EOG091C0DAD,LOC105462287,23040091,NW_012096470.1:65-916,7434,Aculeata
EOG091C0FZ5,LOC105452998,23040092,NW_012097086.1:144-679,7434,Aculeata
EOG091B0JYV,LOC105450633,23040094,NW_012096378.1:13167-13419,7399,Hymenoptera
EOG091C0B7W,LOC105460968,23040095,NW_012095645.1:24380-48717,7434,Aculeata
EOG091C0L98,LOC105462308,23040097,NW_012096810.1:303-839,7434,Aculeata
EOG091C0H8R,LOC105462284,23040098,NW_012096377.1:5-332,7434,Aculeata
EOG090X00QW,LOC105454711,23040099,NW_012096661.1:5-518,6656,Arthropoda
EOG091C0DWS,LOC105462277,23040100,NW_012096155.1:85-2746,7434,Aculeata
EOG091C0835,LOC105462278,23040101,NW_012096155.1:2753-7176,7434,Aculeata
EOG091C0I5H,LOC105462279,23040102,NW_012096155.1:10244-12211,7434,Aculeata
EOG091C0LSL,LOC105462037,23040107,NW_012097140.1:122-2208,7434,Aculeata
EOG090X00PR,LOC105449159,23040109,NW_012096646.1:15-638,6656,Arthropoda
EOG091C05GX,LOC105455292,23040110,NW_012096809.1:49-490,7434,Aculeata
EOG091G03EU,LOC105454495,23040111,NW_012096571.1:267-807,33208,Metazoa
EOG091C00LS,LOC105449689,23040114,NW_012096600.1:424-910,7434,Aculeata
EOG091C0C9Q,LOC105462285,23040116,NW_012096410.1:1051-1514,7434,Aculeata
EOG091C013K,LOC105452326,23040120,NW_012096617.1:7-681,7434,Aculeata
EOG091C062S,LOC105462297,23040121,NW_012096601.1:11-1293,7434,Aculeata
EOG091C033V,LOC105452477,23040123,NW_012096695.1:45-565,7434,Aculeata
EOG091C015P,LOC105461070,23040124,NW_012096512.1:6-1526,7434,Aculeata
EOG091C05UE,LOC105456195,23040125,NW_012096529.1:101-648,7434,Aculeata
EOG091C0588,LOC105449331,23040127,NW_012095790.1:7-295,7434,Aculeata
EOG091C0SIO,LOC105462790,23040137,NW_012096181.1:12915-13161,7434,Aculeata
EOG091G0LVA,LOC105458160,23040138,NW_012096603.1:7947-8424,33208,Metazoa
EOG091C09LP,LOC105458415,23040140,NW_012095387.1:8-458,7434,Aculeata
EOG091C0BVX,LOC105462294,23040144,NW_012096569.1:211-694,7434,Aculeata
EOG091C0TIN,LOC105449130,23040146,NW_012096349.1:244-904,7434,Aculeata
EOG091C0Q06,LOC105460333,23040148,NW_012096178.1:10-1312,7434,Aculeata
EOG091C081E,LOC105450701,23040150,NW_012096076.1:181-1051,7434,Aculeata
EOG091C05DF,LOC105462282,23040151,NW_012096316.1:64-1064,7434,Aculeata
EOG091C01GX,LOC105461094,23040156,NW_012095844.1:230-1119,7434,Aculeata
EOG091C0GI8,LOC105462253,23040157,NW_012095612.1:482-1705,7434,Aculeata
EOG091G00Z0,LOC105462235,23040161,NW_012095385.1:36-1808,33208,Metazoa
EOG091C0AL5,LOC105462245,23040166,NW_012095524.1:13-428,7434,Aculeata
EOG090X02T7,LOC105460878,23040169,NW_012095532.1:5-511,6656,Arthropoda
EOG091C05NW,LOC105455094,23040170,NW_012095607.1:79-527,7434,Aculeata
EOG091C0DX9,LOC105462226,23040173,NW_012094956.1:374-2772,7434,Aculeata
EOG091C08Y7,LOC105459683,23040175,NW_012095836.1:53-518,7434,Aculeata
EOG090U0AYC,LOC105449071,23040179,NW_012095943.1:284-582,36668,Formicidae
EOG091C0EZV,LOC105455398,23040183,NW_012095314.1:7-784,7434,Aculeata
EOG091C0K08,LOC105462243,23040184,NW_012095491.1:5-321,7434,Aculeata
EOG091C0GYZ,LOC105455541,23040185,NW_012096031.1:204-877,7434,Aculeata
EOG090X03WL,LOC105458794,23040186,NW_012095937.1:7-1157,6656,Arthropoda
EOG091C0ISE,LOC105462223,23040192,NW_012094908.1:16-812,7434,Aculeata
EOG091C001Q,LOC105456942,23040193,NW_012095645.1:4416-75800,7434,Aculeata
EOG090X0FTZ,LOC105455734,23040202,NW_012095134.1:12980-13313,6656,Arthropoda
EOG091C0BW6,LOC105462264,23040203,NW_012095767.1:7-1635,7434,Aculeata
EOG091C01VG,LOC105462280,23040205,NW_012096165.1:1298-3565,7434,Aculeata
EOG091C0SIO,LOC105449807,23040211,NW_012095478.1:12821-13081,7434,Aculeata
EOG091C065J,LOC105462257,23040215,NW_012095642.1:8-469,7434,Aculeata
EOG091G0QPY,LOC105452951,23040219,NW_012095717.1:24-548,33208,Metazoa
EOG091C024I,LOC105460981,23040224,NW_012095542.1:9-420,7434,Aculeata
EOG091G05S3,LOC105460938,23040225,NW_012095870.1:25-646,33208,Metazoa
EOG091C0DE9,LOC105454468,23040227,NW_012095425.1:4-735,7434,Aculeata
EOG091G01RJ,LOC105458337,23040229,NW_012095424.1:169-899,33208,Metazoa
EOG091C02E5,LOC105462213,23040234,NW_012094575.1:44-917,7434,Aculeata
EOG090X0KLN,LOC105450900,23040235,NW_012095002.1:36-1014,6656,Arthropoda
EOG090X00SF,LOC105462227,23040236,NW_012094956.1:5027-8702,6656,Arthropoda
EOG091G0Q00,LOC105462250,23040242,NW_012095576.1:36-575,33208,Metazoa
EOG091C03CL,LOC105455290,23040245,NW_012095687.1:75-701,7434,Aculeata
EOG091G02IZ,LOC105459927,23040248,NW_012094194.1:9-626,33208,Metazoa
EOG091C0CDQ,LOC105462254,23040251,NW_012095612.1:5796-6829,7434,Aculeata
EOG091C0SIO,LOC105455734,23040253,NW_012095514.1:498-1127,7434,Aculeata
EOG090X0915,LOC105462188,23040255,NW_012094144.1:535-1499,6656,Arthropoda
EOG090X03QH,LOC105447941,23040257,NW_012095974.1:763-1186,6656,Arthropoda
EOG091C04XP,LOC105463012,23040264,NW_012095685.1:40-595,7434,Aculeata
EOG091C019T,LOC105462234,23040265,NW_012095349.1:375-887,7434,Aculeata
EOG091C0SRA,LOC105448719,23040267,NW_012095745.1:79-1021,7434,Aculeata
EOG090X02S5,LOC105450617,23040268,NW_012095880.1:4473-4889,6656,Arthropoda
EOG091G05QO,LOC105460850,23040273,NW_012094500.1:987-5583,33208,Metazoa
EOG091C0GTG,LOC105462192,23040278,NW_012094179.1:11943-13742,7434,Aculeata
EOG091C063J,LOC105459863,23040285,NW_012095720.1:128-507,7434,Aculeata
EOG091B0J1I,LOC105462190,23040286,NW_012094177.1:62-1165,7399,Hymenoptera
EOG091C03UB,LOC105461072,23040288,NW_012095168.1:7-472,7434,Aculeata
EOG091C0I3V,LOC105450633,23040293,NW_012095331.1:3047-8592,7434,Aculeata
EOG091C008H,LOC105459464,23040294,NW_012095458.1:76-601,7434,Aculeata
EOG091C00AS,LOC105462217,23040295,NW_012094668.1:126-2042,7434,Aculeata
EOG091C0035,LOC105451188,23040297,NW_012095181.1:102-552,7434,Aculeata
EOG091C0GPQ,LOC105453139,23040298,NW_012093951.1:82-970,7434,Aculeata
EOG091C0FOI,LOC105457837,23040301,NW_012095391.1:81-679,7434,Aculeata
EOG090X05NU,LOC105462228,23040302,NW_012094962.1:435-1175,6656,Arthropoda
EOG091C0OO9,LOC105462225,23040305,NW_012094950.1:8284-19952,7434,Aculeata
EOG090X00ZL,LOC105447884,23040306,NW_012095504.1:329-849,6656,Arthropoda
EOG091C00WJ,LOC105456162,23040310,NW_012094659.1:12-467,7434,Aculeata
EOG090X03PP,LOC105457242,23040312,NW_012094196.1:10-1186,6656,Arthropoda
EOG091C0PF5,LOC105462204,23040314,NW_012094393.1:1074-2666,7434,Aculeata
EOG091C0A25,LOC105451962,23040317,NW_012093948.1:4-709,7434,Aculeata
EOG091C00PB,LOC105456247,23040319,NW_012093433.1:223-1176,7434,Aculeata
EOG090X0P4U,LOC105452922,23040320,NW_012094772.1:25-821,6656,Arthropoda
EOG090X02IJ,LOC105452772,23040326,NW_012094505.1:10-751,6656,Arthropoda
EOG091C0FLP,LOC105462195,23040329,NW_012094189.1:28319-29431,7434,Aculeata
EOG091C0UDP,LOC105450301,23040330,NW_012094062.1:559-3147,7434,Aculeata
EOG091C06VE,LOC105462222,23040331,NW_012094821.1:246-2007,7434,Aculeata
EOG091C0111,LOC105452773,23040335,NW_012094442.1:35-410,7434,Aculeata
EOG090X0AAI,LOC105460759,23040336,NW_012094281.1:7-869,6656,Arthropoda
EOG091C040U,LOC105462174,23040337,NW_012093818.1:30-640,7434,Aculeata
EOG091C03W8,LOC105461026,23040338,NW_012093407.1:76-561,7434,Aculeata
EOG090X0FTZ,LOC105449807,23040339,NW_012093407.1:570-1160,6656,Arthropoda
EOG090X0588,LOC105462210,23040342,NW_012094500.1:90-554,6656,Arthropoda
EOG091C0SDW,LOC105448351,23040343,NW_012093896.1:245-506,7434,Aculeata
EOG091B0H23,LOC105460913,23040344,NW_012094016.1:7-661,7399,Hymenoptera
EOG091C0JJE,LOC105462193,23040349,NW_012094179.1:463-7169,7434,Aculeata
EOG091C0K8A,LOC105462194,23040350,NW_012094179.1:17174-18310,7434,Aculeata
EOG091G04QA,LOC105457877,23040351,NW_012093927.1:29-342,33208,Metazoa
EOG091C0F04,LOC105462206,23040352,NW_012094415.1:4-498,7434,Aculeata
EOG091C01WI,LOC105451872,23040356,NW_012094968.1:185-1018,7434,Aculeata
EOG091C0GRZ,LOC105462176,23040358,NW_012093857.1:22375-24983,7434,Aculeata
EOG090X06EE,LOC105459996,23040360,NW_012094399.1:16-594,6656,Arthropoda
EOG090X09FG,LOC105462158,23040363,NW_012093498.1:1175-2922,6656,Arthropoda
EOG091C0HAZ,LOC105462163,23040367,NW_012093601.1:14-485,7434,Aculeata
EOG091C01GE,LOC105462189,23040370,NW_012094161.1:287-2673,7434,Aculeata
EOG091G0DY5,LOC105462171,23040377,NW_012093762.1:275-693,33208,Metazoa
EOG091C0MXW,LOC105462154,23040382,NW_012093423.1:56-454,7434,Aculeata
EOG090X0BT7,LOC105461210,23040385,NW_012093804.1:7-560,6656,Arthropoda
EOG091C0H6E,LOC105449250,23040387,NW_012094866.1:68-417,7434,Aculeata
EOG090X04UK,LOC105462212,23040396,NW_012094361.1:21-396,6656,Arthropoda
EOG091G0D5F,LOC105460848,23040398,NW_012093422.1:7-420,33208,Metazoa
EOG091C0GY3,LOC105462165,23040399,NW_012093638.1:270-603,7434,Aculeata
EOG091C0LMY,LOC105451789,23040400,NW_012092662.1:28-568,7434,Aculeata
EOG091C01VP,LOC105462212,23040417,NW_012094529.1:355-2545,7434,Aculeata
EOG091C0JAG,LOC105462173,23040420,NW_012093788.1:5-383,7434,Aculeata
EOG091C08DK,LOC105456511,23040431,NW_012094046.1:143-747,7434,Aculeata
EOG091B0CZL,LOC105461055,23040434,NW_012093415.1:341-1531,7399,Hymenoptera
EOG091C0T8V,LOC105462198,23040439,NW_012094217.1:12626-13015,7434,Aculeata
EOG091B03BW,LOC105462207,23040441,NW_012094427.1:2846-3626,7399,Hymenoptera
EOG091C0H8R,LOC105448529,23040445,NW_012094539.1:70-632,7434,Aculeata
EOG091C0NQJ,LOC105461636,23040446,NW_012093862.1:69-320,7434,Aculeata
EOG090X0NVF,LOC105462779,23040447,NW_012093862.1:325-862,6656,Arthropoda
EOG090X064X,LOC105462202,23040448,NW_012094354.1:333-1146,6656,Arthropoda
EOG091C08XV,LOC105457231,23040452,NW_012094510.1:211-493,7434,Aculeata
EOG091B08ZA,LOC105462118,23040453,NW_012092375.1:7-707,7399,Hymenoptera
EOG091C0SIO,LOC105461097,23040454,NW_012094326.1:693-950,7434,Aculeata
EOG091C03BB,LOC105462148,23040459,NW_012093218.1:7396-11220,7434,Aculeata
EOG091C0LW7,LOC105448079,23040464,NW_012093628.1:307-929,7434,Aculeata
EOG091C0ITP,LOC105457590,23040467,NW_012093665.1:119-601,7434,Aculeata
EOG090X04VU,LOC105452930,23040468,NW_012094036.1:295-2818,6656,Arthropoda
EOG091C0B60,LOC105458051,23040469,NW_012093511.1:98-1047,7434,Aculeata
EOG091C03HI,LOC105461977,23040470,NW_012094049.1:4-1478,7434,Aculeata
EOG091C05DA,LOC105452699,23040475,NW_012093755.1:56-454,7434,Aculeata
EOG091G0B7N,LOC105456780,23040476,NW_012093509.1:31-798,33208,Metazoa
EOG091C00HT,LOC105455063,23040478,NW_012093508.1:189-541,7434,Aculeata
EOG091C09QK,LOC105458127,23040485,NW_012092670.1:64-510,7434,Aculeata
EOG091C0475,LOC105459487,23040486,NW_012093364.1:230-579,7434,Aculeata
EOG091C09CU,LOC105453829,23040487,NW_012093291.1:6-707,7434,Aculeata
EOG091C0488,LOC105456302,23040490,NW_012093569.1:16798-40919,7434,Aculeata
EOG091C01GX,LOC105461094,23040492,NW_012093569.1:60010-64284,7434,Aculeata
EOG091C00GK,LOC105452986,23040495,NW_012093352.1:52-406,7434,Aculeata
EOG090X0B2H,LOC105455805,23040508,NW_012092664.1:10-496,6656,Arthropoda
EOG090X13BI,LOC105460796,23040509,NW_012093630.1:623-1656,6656,Arthropoda
EOG091C0K1V,LOC105462128,23040515,NW_012092842.1:4761-5618,7434,Aculeata
EOG091G1D6J,LOC105459695,23040527,NW_012092919.1:29-610,33208,Metazoa
EOG091C0J7B,LOC105458360,23040528,NW_012092335.1:24-1168,7434,Aculeata
EOG090X03G3,LOC105462149,23040530,NW_012093258.1:1018-3381,6656,Arthropoda
EOG091C06HP,LOC105456895,23040532,NW_012093346.1:19-805,7434,Aculeata
EOG090X08DU,LOC105462107,23040533,NW_012092123.1:9-1049,6656,Arthropoda
EOG091C0B5K,LOC105462127,23040534,NW_012092762.1:851-3095,7434,Aculeata
EOG091C05VX,LOC105459196,23040535,NW_012093083.1:7-459,7434,Aculeata
EOG091G04VZ,LOC105462083,23040536,NW_012091732.1:253-719,33208,Metazoa
EOG091B05ZQ,LOC105455355,23040542,NW_012092492.1:7-810,7399,Hymenoptera
EOG091C0JP7,LOC105462111,23040543,NW_012092153.1:246-1085,7434,Aculeata
EOG090X0576,LOC105462137,23040545,NW_012092985.1:238-829,6656,Arthropoda
EOG091C08HX,LOC105456300,23040546,NW_012093094.1:208-483,7434,Aculeata
EOG091C0AXS,LOC105462078,23040548,NW_012091532.1:7-1783,7434,Aculeata
EOG091G07W6,LOC105448381,23040552,NW_012092875.1:8310-8560,33208,Metazoa
EOG091C0F7T,LOC105462126,23040555,NW_012092718.1:12787-14485,7434,Aculeata
EOG090X082P,LOC105462121,23040556,NW_012092564.1:214-1255,6656,Arthropoda
EOG091C0CGA,LOC105462102,23040558,NW_012092104.1:4745-19111,7434,Aculeata
EOG090X1BQZ,LOC105462108,23040559,NW_012092131.1:119-1124,6656,Arthropoda
EOG091C0KTS,LOC105462077,23040563,NW_012091530.1:7-563,7434,Aculeata
EOG091C07BN,LOC105453314,23040571,NW_012091948.1:8-535,7434,Aculeata
EOG091C03AO,LOC105462084,23040574,NW_012091772.1:26883-29525,7434,Aculeata
EOG091C02Y9,LOC105462085,23040575,NW_012091772.1:16868-22006,7434,Aculeata
EOG091C05A5,LOC105462086,23040578,NW_012091772.1:38665-41816,7434,Aculeata
EOG091C0JTN,LOC105461005,23040582,NW_012092233.1:7-600,7434,Aculeata
EOG090X082P,LOC105462113,23040584,NW_012092232.1:120-2214,6656,Arthropoda
EOG091C0MQM,LOC105462098,23040589,NW_012092030.1:18453-24079,7434,Aculeata
EOG091C091R,LOC105462099,23040590,NW_012092030.1:4678-15193,7434,Aculeata
EOG090X0BT7,LOC105462138,23040593,NW_012093038.1:9-355,6656,Arthropoda
EOG091C0K9R,LOC105462135,23040596,NW_012092928.1:555-1119,7434,Aculeata
EOG090X08LV,LOC105459987,23040597,NW_012092914.1:666-892,6656,Arthropoda
EOG091C04Z7,LOC105454331,23040598,NW_012093146.1:48-384,7434,Aculeata
EOG091B060F,LOC105453768,23040599,NW_012092913.1:163-495,7399,Hymenoptera
EOG091C0K7U,LOC105462146,23040600,NW_012093159.1:977-1492,7434,Aculeata
EOG090X0621,LOC105462141,23040603,NW_012093117.1:669-2684,6656,Arthropoda
EOG091G0JNC,LOC105460923,23040615,NW_012091732.1:18-341,33208,Metazoa
EOG091B0VSO,LOC105453713,23040616,NW_012091435.1:955-1655,7399,Hymenoptera
EOG091C0MM2,LOC105457521,23040619,NW_012091765.1:334-764,7434,Aculeata
EOG091C0K1V,LOC105462129,23040620,NW_012092842.1:8530-9251,7434,Aculeata
EOG091C0Q3V,LOC105462130,23040621,NW_012092842.1:15865-16886,7434,Aculeata
EOG091C01KY,LOC105453666,23040622,NW_012092869.1:6-305,7434,Aculeata
EOG091C0LL7,LOC105462076,23040623,NW_012091519.1:383-975,7434,Aculeata
EOG091G07OC,LOC105462073,23040634,NW_012091420.1:7-469,33208,Metazoa
EOG091C039L,LOC105462109,23040635,NW_012092137.1:17470-26290,7434,Aculeata
EOG091C0EMO,LOC105458904,23040640,NW_012092851.1:10-692,7434,Aculeata
EOG091B0A26,LOC105453044,23040642,NW_012092049.1:792-1723,7399,Hymenoptera
EOG091C00JU,LOC105462100,23040646,NW_012092048.1:6-892,7434,Aculeata
EOG091C05SP,LOC105462087,23040647,NW_012091772.1:2329-7406,7434,Aculeata
EOG091C0F31,LOC105462088,23040648,NW_012091772.1:13813-16143,7434,Aculeata
EOG091C0IJE,LOC105462085,23040649,NW_012091772.1:17751-18428,7434,Aculeata
EOG090W0BFB,LOC105460468,23040650,NW_012091772.1:33657-34790,50557,Insecta
EOG091C038W,LOC105462066,23040652,NW_012091202.1:198-4877,7434,Aculeata
EOG091G09AX,LOC105462069,23040654,NW_012091286.1:17-512,33208,Metazoa
EOG090X00PY,LOC105455816,23040657,NW_012092246.1:6-1427,6656,Arthropoda
EOG091C00C2,LOC105462116,23040659,NW_012092328.1:167-613,7434,Aculeata
EOG091C0PYC,LOC105462112,23040660,NW_012092215.1:8929-11209,7434,Aculeata
EOG091C01RU,LOC105454725,23040664,NW_012092243.1:72-1380,7434,Aculeata
EOG090X0JRC,LOC105462095,23040674,NW_012091958.1:13-1438,6656,Arthropoda
EOG091C0NQJ,LOC105461636,23040676,NW_012092350.1:30-332,7434,Aculeata
EOG091C0CTQ,LOC105462063,23040678,NW_012091186.1:43-2025,7434,Aculeata
EOG091G0NU5,LOC105458145,23040679,NW_012091186.1:2215-3702,33208,Metazoa
EOG091C0DHY,LOC105454864,23040683,NW_012091941.1:18-394,7434,Aculeata
EOG091C01AG,LOC105455959,23040685,NW_012091875.1:50-618,7434,Aculeata
EOG091C004K,LOC105453648,23040689,NW_012091874.1:118-518,7434,Aculeata
EOG091C04X2,LOC105462147,23040695,NW_012093212.1:9-713,7434,Aculeata
EOG091C09RJ,LOC105462081,23040696,NW_012091651.1:7-383,7434,Aculeata
EOG090X027I,LOC105462090,23040697,NW_012091872.1:179-799,6656,Arthropoda
EOG091C0KC9,LOC105456679,23040699,NW_012091614.1:57-825,7434,Aculeata
EOG091C0IBU,LOC105462056,23040700,NW_012090956.1:1680-3110,7434,Aculeata
EOG090X0DR2,LOC105449458,23040701,NW_012091675.1:59-364,6656,Arthropoda
EOG091C06EI,LOC105455216,23040705,NW_012090711.1:25-1508,7434,Aculeata
EOG091C08CW,LOC105460973,23040706,NW_012090833.1:7-1138,7434,Aculeata
EOG091C070U,LOC105462034,23040707,NW_012090324.1:361-3251,7434,Aculeata
EOG091C0DJS,LOC105462035,23040709,NW_012090324.1:12292-19540,7434,Aculeata
EOG091C0G7Y,LOC105462059,23040721,NW_012091085.1:5-466,7434,Aculeata
EOG091G1O6E,LOC105462051,23040723,NW_012090887.1:7-1019,33208,Metazoa
EOG091C0H35,LOC105462029,23040728,NW_012090322.1:4219-6970,7434,Aculeata
EOG091C0H35,LOC105462030,23040729,NW_012090322.1:10265-12323,7434,Aculeata
EOG091C0H35,LOC105462031,23040730,NW_012090322.1:14872-17795,7434,Aculeata
EOG091C0H35,LOC105462032,23040731,NW_012090322.1:18440-21154,7434,Aculeata
EOG091C0G0G,LOC105452505,23040733,NW_012090022.1:7-509,7434,Aculeata
EOG090X00SF,LOC105462040,23040736,NW_012090461.1:1238-2121,6656,Arthropoda
EOG091C09LD,LOC105455662,23040737,NW_012090828.1:17-765,7434,Aculeata
EOG091B0KPR,LOC105462527,23040738,NW_012091047.1:112-563,7399,Hymenoptera
EOG091C09SA,LOC105462057,23040742,NW_012090980.1:10-404,7434,Aculeata
EOG091C0MS9,LOC105454934,23040744,NW_012091556.1:122-1062,7434,Aculeata
EOG091C0EA1,LOC105453011,23040747,NW_012091669.1:7-1166,7434,Aculeata
